Lead_ID,Client_Name,Company_Segment,City,Assigned_Agent,Lead_Date,Status,Response_Time,Interaction_Count,Target_Sales
CL-2716,CLIENT_2716,a Government Service provider,Ipoh,Agent_C,4/12/2024, Contacted,40.6,43,3570.55
CL-2832,client_2832,a leading Utility company,Klang ,Agent_C,26/09/2023, Contacted,61.1h,26,4663.28
CL-1544,Client_1544,a regional Financial Institution,cyberjaya,Agent_A,31-Aug-24,New,31.5 hours,33,1184.3
CL-0857,Client_857,a leading Utility company,Klang ,Agent_D,22/06/2024,lost,1.4 days,3 interactions,3250.2
CL-1537,Client_1537,a leading Utility company,Subang  Jaya,Agent_A,22/12/2023,Contacted,2.4 days,29,4161.12
CL-0138,Client_138,a Government Service provider,subang jaya,Agent_D,4/10/2024,New,34,18,4848.53
CL-0749,Client_749,a private Manufacturing enterprise,Cyberjya,Agent_C,5/22/2024,contacted,6.2h,9,2663.26
CL-0463,Client_463,a leading Utility company, Kuching,Agent_D,12/6/2024, Qualified,18.3,48,3262.22
CL-1743,Client_1743,a private Manufacturing enterprise,Peneng,Agent_A,12/1/2023,Qualified ,40.0 hrs,11,4363.7
CL-0010,Client_010 ,a leading Utility company, Putrajaya,Agent_D,7/5/2024,Qualifeid,64.7h,9,3789.54
CL-0162,Client_162,a regional Financial Institution,PUTRAJAYA,Agent_D,8/10/2024,Converted,51.7h,7 interactions,4889.42
CL-0946,Client_946,a regional Financial Institution,Kuching ,Agent_C,1/18/2024,LOST,0.8 days,8,2034.67
CL-2309,Client_2309,a private Manufacturing enterprise,Petaling Jaya,Agent_C,15/12/2024,Convereted,49,N/A,3130.77
CL-0661,Client_661,a private Manufacturing enterprise, Klang,Agent_C,20/07/2023,new,48.9,26,2341.95
CL-0650,CLIENT_650,a Government Service provider,Kuching ,Agent_D,10/23/2023,New ,8.5 hrs,14,1635.16
CL-0822,CLIENT_822,a regional Financial Institution,seremban,Agent_C,2/16/2024,qualified,0.7 days,40,1372.23
CL-2251,Client_2251,a major Telecommunications provider, Petaling Jaya,Agent_B,17-Jun-23,NEW,0.1 days,35,1104.89
CL-1572,Client_1572,a leading Utility company,Kota  Kinabalu,Agent_A,09.09.2023, New,67,43,3432.11
CL-2524,Client_2524,a major Telecommunications provider,Alor  Setar,Agent_D,8/9/2024, New,9.2 hrs,48,1610.39
CL-1027,Client_1027,a leading Utility company,Kota Kinablu,Agent_D,20/07/2024,contacted,20,28,3632.2
CL-2773,Client_2773,a private Manufacturing enterprise, Klang,Agent_B,28.09.2024,Lost,2.4 hrs,17,4947.52
CL-2962,Client_2962,a regional Financial Institution,Alor Setr,Agent_D,1-Nov-23,Qualified ,45.5 hours,40,4315.3
CL-2897,Client_2897,a regional Financial Institution,Kota  Kinabalu,Agent_D,8/8/2023,Contactd,23.2 hours,8,3321.74
CL-0937,Client_937,a major Telecommunications provider,Ipoh,Agent_A,25/06/2024,Qualifeid,20.7 hours,4,2413.97
CL-2867,Client_2867,a leading Utility company,SHAH ALAM,Agent_C,8/7/2024,Conctacted,2.3 days,22,4178.08
CL-2198,CLIENT_2198,a major Telecommunications provider,cyberjaya,Agent_A,13.10.2024, Converted,62.5,5,3857.12
CL-0752,Client_752,a private Manufacturing enterprise,Johore Bahru,Agent_A,2/16/2023,Conctacted,0.9 days,49,3943.41
CL-1840,Client_1840,a private Manufacturing enterprise,Peneng,Agent_A,10/9/2023,Conctacted,45.9,15,1886.04
CL-1742,Client_1742,a Government Service provider,Alor Setar,Agent_B,30/11/2023,NEW,2.9 days,27,2905.85
CL-2549,Client_2549,a leading Utility company,Subang  Jaya,Agent_C,20-Jun-24,NEW,1.7,-3,3593.33
CL-2909,Client_2909,a private Manufacturing enterprise,Kota  Kinabalu,Agent_D,28.04.2023,Qualified,40,36,2647.98
CL-1039, Client_1039,a regional Financial Institution,Alor  Setar,Agent_B,5/6/2023,New ,64.5,N/A,2595.93
CL-1101,Client_1101,a major Telecommunications provider,seremban,Agent_A,04.02.2023,New ,69.3h,30,3915.29
CL-2176,Client_2176,a Government Service provider,Kuala Lumpr,Agent_A,29-Jun-23,Lost ,41,23,4417.33
CL-0820,Client_820,a leading Utility company,Subang  Jaya,Agent_C,08.04.2023,Qualified,70.2,45,1643.88
CL-1512,Client_1512,a regional Financial Institution,Penag,Agent_B,10-Sep-23,new,44.1 hrs,18,3285.3
CL-1246,Client_1246,a Government Service provider, Klang,Agent_A,10-Apr-23,Nw,23.7,47,4231.07
CL-1595,Client_1595,a regional Financial Institution, Shah Alam,Agent_A,11.09.2024,New,29.5 hrs,45,3866.84
CL-2733,Client_2733,a leading Utility company,Sha Alam,Agent_D,13.08.2024,CONVERTED,1.8 days,21,3514.27
CL-1068,Client_1068 ,a Government Service provider,Malaka,Agent_A,4/6/2024,New ,26.9,47,1625.1
CL-2705,Client_2705,a regional Financial Institution, Subang Jaya,Agent_A,9/25/2024,Contacted ,4.5 hours,1,4006.04
CL-2850,Client_2850,a major Telecommunications provider,Kota Kinabalu,Agent_A,10/29/2024,CONVERTED,35.8 hours,18,2824.64
CL-1243,Client_1243,a regional Financial Institution,Petaling Jaya,Agent_D,7/16/2023,LOST,37.3 hrs,4,4890.01
CL-2533,Client_2533,a leading Utility company,Alor Setr,Agent_A,12/8/2023,NEW,47,5,1125.72
CL-2333,Client_2333,a major Telecommunications provider, Malacca,Agent_A,15-Sep-23, New,43,49,4825.78
CL-0363,Client_363,a regional Financial Institution,Shah  Alam,Agent_A,11/2/2024,NEW,55.2,39,4911.46
CL-2948,Client_2948,a major Telecommunications provider,Johor Bahru ,Agent_B,21/12/2024,new,26.3 hours,5,4695.73
CL-0235,Client_235,a Government Service provider, Putrajaya,Agent_B,15/05/2024,LOST,71.3,5,1085.36
CL-2687,CLIENT_2687,a major Telecommunications provider,Petaling  Jaya,Agent_C,4/7/2023, Contacted,25.1 hours,44,2404.1
CL-0998,Client_998,a regional Financial Institution,Kuala  Lumpur,Agent_D,09.03.2024,Qualifeid,0.8 days,46,2920.13
CL-2352,Client_2352,a private Manufacturing enterprise,Petaling Jya,Agent_A,12/2/2024,Qualifeid,34.3,38,4103.16
CL-0652,Client_652,a leading Utility company, Kuala Lumpur,Agent_A,7/13/2023, New,2.5 days,27,2714.84
CL-2132,Client_2132,a major Telecommunications provider,Kota Kinaballu,Agent_C,20/06/2023,Lost,47.3 hrs,15,4100.76
CL-1757,Client_1757,a leading Utility company,kuchng,Agent_D,7/11/2024,NEW,55,8,3059.92
CL-1665,Client_1665,a regional Financial Institution,Malacca ,Agent_B,22/02/2024,Nw,27,7,4205.75
CL-2605, Client_2605,a regional Financial Institution,Petalingg Jaya,Agent_C,25/09/2023,Converted,65.4 hrs,42,3764.82
CL-1059,Client_1059,a regional Financial Institution,Alor Setar,Agent_B,23/09/2023,New ,5.9 hours,25,1292.68
CL-0450,Client_450,a private Manufacturing enterprise,KUCHING,Agent_B,30/07/2023,Contacted,11,17,1781.8
CL-1422,Client_1422,a major Telecommunications provider,cyberjaya,Agent_D,16/10/2023,New,35,N/A,3284.07
CL-1578,Client_1578,a major Telecommunications provider, Klang,Agent_C,31/01/2023,Conveted,54.6,50,1812.01
CL-2838,Client_2838,a leading Utility company,Ipoh,Agent_B,14/08/2024,New,15.3,47,2096.24
CL-2646,Client_2646,a major Telecommunications provider, Subang Jaya,Agent_D,24/08/2023,Los,16.3h,6,3956.47
CL-1375,Client_1375,a private Manufacturing enterprise,Kuala  Lumpur,Agent_D,4/6/2024,Conctacted,50.5 hrs,12,4438.34
CL-2718,Client_2718,a private Manufacturing enterprise,penang,Agent_D,10/20/2024, Contacted,30.6h,26,3568.62
CL-2940,Client_2940,a major Telecommunications provider,Kota Kinaballu,Agent_C,27/05/2023,contacted,29.8 hours,24,3680.98
CL-0738,Client_738,a leading Utility company,ipoh,Agent_C,29.04.2023,New ,3.0 days,32,4710.31
CL-1502,Client_1502,a leading Utility company,Cyberjya,Agent_D,19/09/2024,Convereted,21,46,3585.72
CL-0216,Client_216,a Government Service provider,Alor  Setar,Agent_C,1/4/2024,CONTACTED,1.3 days,15 interactions,4123.9
CL-2925,Client_2925,a private Manufacturing enterprise,Petaling Jya,Agent_C,7/8/2024,lost,1.9 hours,11,4446.12
CL-0169, Client_169,a Government Service provider,Petaling  Jaya,Agent_D,6-Jan-24,Lost,43,24,3279.7
CL-0552,Client_552,a Government Service provider,Cyber Jaya,Agent_A,1/8/2023,New,47.2,3,2248.14
CL-0039,Client_039,a private Manufacturing enterprise,Kota Kinaballu,Agent_A,3/13/2023,CONTACTED,1.2 days,2,4786.07
CL-1049,Client_1049,a regional Financial Institution,Melacca,Agent_D,12/2/2024,New ,31.2 hrs,5,2602.46
CL-2332,Client_2332,a major Telecommunications provider,IPOH,Agent_C,11/7/2023,lost,1.4,34,4090.22
CL-0623,Client_623,a Government Service provider,Petaling Jya,Agent_A,27-Jul-23,Contactd,70,8,2726.16
CL-2232,Client_2232,a major Telecommunications provider,Serembn,Agent_C,28.10.2024,Contacted,69.8,4,3645.26
CL-0918,Client_918,a regional Financial Institution, Kuala Lumpur,Agent_B,13/04/2024,qualified,50.3 hours,14,3323.66
CL-1607,Client_1607,a major Telecommunications provider,Kuchng,Agent_B,16/12/2023,Contacted ,8.3 hours,28,1104.89
CL-1277,Client_1277,a leading Utility company,Klang,Agent_C,11/23/2023,New,32.1h,35,1888.82
CL-1106,client_1106,a leading Utility company,Seremban ,Agent_B,8/26/2023,qualified,67.3h,15,4187.96
CL-0849,Client_849,a regional Financial Institution,cyberjaya,Agent_B,14-Dec-23,Conctacted,54,21,3817.26
CL-2997,Client_2997,a regional Financial Institution,Cyberjaya,Agent_D,7-Nov-24,contacted,2.3 days,25,2781.56
CL-1862,Client_1862,a regional Financial Institution,Subang  Jaya,Agent_A,13-Jun-23,Qualifeid,1.6 hrs,36,2256.39
CL-2985,Client_2985,a Government Service provider,cyberjaya,Agent_D,16-Dec-23,Contacted,43.0 hrs,24,2246.66
CL-2048,Client_2048,a private Manufacturing enterprise,kuchng,Agent_C,22/01/2023,Qualified,0.9 hrs,35,2306.76
CL-0823,client_823,a private Manufacturing enterprise,kuchng,Agent_B,3/14/2024,Conctacted,56.5h,38,3947.91
CL-0970,Client_970,a major Telecommunications provider, Malacca,Agent_A,4-Feb-24,Qualified ,13.7 hrs,38,4735.73
CL-1096,Client_1096,a leading Utility company,Alor Setar,Agent_C,11-May-24,New,11.4,16,1328.15
CL-1527,Client_1527,a Government Service provider,Ipoh ,Agent_D,12/28/2024,Qualified ,46.3,N/A,1916.76
CL-2200,Client_2200,a leading Utility company,seremban,Agent_C,19/06/2024,Contactd,34,30,1505.92
CL-1147,Client_1147,a private Manufacturing enterprise,alor setar,Agent_A,1/6/2024,CONTACTED,6.0 hours,39,3051.32
CL-1938,CLIENT_1938,a Government Service provider,Subang Jaa,Agent_A,30-Nov-24,Contacted ,40.5 hrs,47,4417.33
CL-2161,Client_2161,a regional Financial Institution,Klang ,Agent_D,29/08/2023,Qualified ,67,44,3510.85
CL-1133,Client_1133,a major Telecommunications provider,Klanng,Agent_A,24/09/2023,lost,53.8 hrs,1,2811.97
CL-0106,Client_106,a private Manufacturing enterprise, Petaling Jaya,Agent_D,24/07/2024,new,0.1 days,24,3211.6
CL-1803,Client_1803,a Government Service provider,Kuala  Lumpur,Agent_A,12/19/2024,converted,27.9 hrs,40,3101.23
CL-1761,Client_1761,a Government Service provider,JB,Agent_D,6/30/2023,New,57,34,2243.18
CL-1845,client_1845,a regional Financial Institution,cyberjaya,Agent_C,9/4/2023,new,2.9 days,35,4618.16
CL-2820,Client_2820,a leading Utility company, Klang,Agent_B,31/10/2023,CONTACTED,6,4,4020.19
CL-2670,Client_2670,a regional Financial Institution,PUTRAJAYA,Agent_B,09.07.2024, Converted,46.7 hours,15,3002.34
CL-1769,Client_1769,a leading Utility company,Alor Setar,Agent_A,17/12/2023,Contactd,11,1,1031.09
CL-2457,CLIENT_2457,a leading Utility company,Alor Setar ,Agent_C,8/26/2023,Convereted,19.6h,17,1468.53
CL-0926,Client_926,a private Manufacturing enterprise, Malacca,Agent_A,8/21/2024,Converted ,69.5,39,1049.5
CL-1849,Client_1849,a private Manufacturing enterprise,JB,Agent_C,16-May-23,Convereted,16.7h,16,2689.23
CL-2246,Client_2246,a private Manufacturing enterprise,Johor Bahru ,Agent_C,21/03/2023, Converted,63.6 hrs,18,2857.22
CL-1279,Client_1279,a Government Service provider, Subang Jaya,Agent_C,21.09.2024, Lost,2.3 days,41,4396.66
CL-1175,Client_1175,a regional Financial Institution,KUCHING,Agent_C,8/23/2023, Converted,24.2 hrs,16,4792.8
CL-0061,Client_061,a regional Financial Institution, Subang Jaya,Agent_D,4-Oct-24,New ,2.6 days,37,1670.85
CL-2900,Client_2900,a regional Financial Institution, Malacca,Agent_C,14.10.2023, Lost,27.8 hrs,5,1580.85
CL-1683,Client_1683,a private Manufacturing enterprise, Seremban,Agent_D,20.07.2023,Qualifed,10,41,4065.09
CL-0164,Client_164,a regional Financial Institution,Seremban,Agent_A,2/11/2024,Contactd,26.8h,25,2737.53
CL-0708,Client_708 ,a Government Service provider,JB,Agent_A,21-Mar-24,Contactd,65,27,4618.2
CL-2958,Client_2958,a leading Utility company, Seremban,Agent_D,5/8/2023,CONTACTED,57,19,2881.62
CL-0706,Client_706,a major Telecommunications provider,Cyber Jaya,Agent_A,4/7/2023,QUALIFIED,2.6 days,43,3362.73
CL-2326,Client_2326,a Government Service provider,PENANG,Agent_D,06.08.2024,Lost ,37.5 hours,26,4141.33
CL-1670,Client_1670,a leading Utility company,Subang Jya,Agent_B,31/05/2023, Qualified,0.1 days,37,1871.87
CL-0677,client_677,a Government Service provider,Seremban,Agent_D,16/08/2023,Converted ,49.7 hours,9,1105.06
CL-1418,Client_1418,a leading Utility company, Kuching,Agent_B,2-Oct-24,Contacted ,51.1h,12,3343.14
CL-0037,Client_037,a Government Service provider,KualaLumpur,Agent_D,7-Dec-23,Conveted,53.1 hrs,45,3668.1
CL-2998,Client_2998,a private Manufacturing enterprise,Malacca,Agent_B,13.01.2023,Los,35.4,36,2197.96
CL-0831,Client_831,a private Manufacturing enterprise,Johor Bahru,Agent_D,7/1/2024,New,40.2 hrs,13,4660.62
CL-1570,Client_1570,a private Manufacturing enterprise,KL,Agent_B,10/17/2024,Convereted,0.2 days,43,4272.7
CL-2417,Client_2417,a leading Utility company, Kuala Lumpur,Agent_C,26-May-24,Contactd,54.7h,12,4706.49
CL-1189,Client_1189,a leading Utility company,kuchng,Agent_C,1/10/2023,Nw,52,21,2151.29
CL-2002,Client_2002,a regional Financial Institution,Kuching,Agent_B,10-Aug-24, Lost,2.1 days,17,1125.27
CL-2426,Client_2426,a major Telecommunications provider,subang jaya,Agent_C,23/06/2024,Contacted,33.7 hours,25,3699.08
CL-2595,Client_2595 ,a regional Financial Institution,PJ,Agent_D,20.05.2024,Qualifeid,49,45,1252.29
CL-2964,Client_2964,a private Manufacturing enterprise, Malacca,Agent_A,23/11/2024,CONVERTED,66,15,4676.12
CL-2187,Client_2187 ,a private Manufacturing enterprise,Penang ,Agent_D,30/03/2023,converted,2.5 days,23,4594.13
CL-2103,Client_2103,a Government Service provider,Cyberjaya,Agent_B,5/21/2023,Contacted ,46.2h,30,3963.5
CL-0958,Client_958,a private Manufacturing enterprise, Seremban,Agent_A,6/10/2024, New,29.2 hours,10,1903.13
CL-0357,Client_357,a leading Utility company,Subang  Jaya,Agent_D,01.07.2023, Qualified,25.1 hours,45,2893.39
CL-2357,Client_2357,a Government Service provider,alor setar,Agent_D,17-Oct-23,Qualified ,62,47,4312.22
CL-1160,client_1160,a Government Service provider,Seremban,Agent_A,14-Jan-24,CONTACTED,31.0h,30,4422.62
CL-1432,Client_1432,a major Telecommunications provider,Subang Jaya,Agent_B,5/9/2024, Contacted,52,24,2980.66
CL-1992,Client_1992,a Government Service provider, Kuching,Agent_D,16-Oct-23,Qualified ,21.8 hours,19,3659.18
CL-2263,Client_2263,a major Telecommunications provider,Alor Setar,Agent_D,06.11.2023,contacted,35.7h,13,2993.91
CL-0838,Client_838,a leading Utility company,alor setar,Agent_C,19.01.2024,Contacted ,23.5 hours,31,1527.7
CL-1426,Client_1426,a private Manufacturing enterprise,klang,Agent_A,19.04.2024,Contacted ,53.3h,2,2037.24
CL-0635,Client_635 ,a Government Service provider,Alor  Setar,Agent_D,10/4/2024,Contacted ,33.2 hrs,18,1532.44
CL-1217,Client_1217,a major Telecommunications provider, Malacca,Agent_B,10/3/2023,Contacted ,19.0h,8,1792.4
CL-0627,Client_627,a leading Utility company,subang jaya,Agent_B,02.03.2024,Qualified ,10.7 hours,27,3839.87
CL-1753,Client_1753,a Government Service provider,subang jaya,Agent_D,23.04.2023, New,68,6,4869.61
CL-1310,client_1310,a private Manufacturing enterprise,Seremban ,Agent_B,1/7/2023, New,10.5h,4,3432.08
CL-0081,Client_081,a leading Utility company, Seremban,Agent_D,24/08/2024,Los,2.5 days,6 interactions,2261.21
CL-1231,Client_1231,a private Manufacturing enterprise,JB,Agent_C,15-Nov-23,qualified,3.0h,26,2341.26
CL-1606,Client_1606,a major Telecommunications provider,Petalingg Jaya,Agent_D,04.10.2024,Lost,11.2,45,3812.98
CL-0176,Client_176,a major Telecommunications provider,kuchng,Agent_A,8/11/2024,New ,46.4h,34,2990.4
CL-1257,Client_1257,a regional Financial Institution,Subang Jaa,Agent_C,23/02/2024,Contacted ,12,6,3035.24
CL-2479,Client_2479,a Government Service provider,SHAH ALAM,Agent_C,16/02/2023,NEW,23.6 hrs,22,2104.39
CL-2244,Client_2244,a leading Utility company,K.Lumpur,Agent_C,1-Jan-23,Contacted,30.4h,49,2264.88
CL-1287,CLIENT_1287,a major Telecommunications provider, Kuching,Agent_B,23/10/2024, Lost,1,43,1401.44
CL-1794,Client_1794,a regional Financial Institution,subang jaya,Agent_A,8/11/2024,Conveted,0.2 days,17,2088.83
CL-2793,client_2793,a leading Utility company,seremban,Agent_C,07.03.2024, Contacted,43.2 hours,6,3057.97
CL-1200,Client_1200,a private Manufacturing enterprise,Petalingg Jaya,Agent_C,10/10/2024,Qualifeid,31.8h,17,4265.28
CL-0359,Client_359,a major Telecommunications provider, Cyberjaya,Agent_B,9/6/2024,Conveted,49.3h,42,4306.45
CL-1858,client_1858,a Government Service provider,Putrajaya,Agent_C,22-Mar-24,Los,28.4 hours,1,1735.7
CL-2295,Client_2295,a private Manufacturing enterprise,Putrajaya,Agent_B,1/21/2023, Lost,30.0h,2 interactions,3299.94
CL-2371,CLIENT_2371,a leading Utility company,Putrajya,Agent_A,16/10/2024, New,2.2 hours,45,4629.82
CL-1867,Client_1867,a leading Utility company,Johor Baru,Agent_D,17/04/2024, Contacted,70,30,1469.77
CL-1682,Client_1682,a leading Utility company, Kuala Lumpur,Agent_A,3/24/2023,Qualified,61.8 hours,14 interactions,3534.19
CL-1959,Client_1959,a leading Utility company,Alor Setar,Agent_B,7/9/2024,Qualifed,61.7 hrs,47,4016.79
CL-2099,Client_2099,a regional Financial Institution,Johor Baru,Agent_C,12/22/2024,contacted,47.9 hours,11,4644.52
CL-2532,Client_2532,a Government Service provider,penang,Agent_B,23-Jun-23,Qualified,25.4,N/A,2303.5
CL-0473,Client_473,a private Manufacturing enterprise,Ipoh ,Agent_B,7/10/2024, Converted,0.8 days,4 interactions,3907.42
CL-1960,Client_1960,a private Manufacturing enterprise,subang jaya,Agent_C,6-Nov-24,Lost ,12,29,4342.44
CL-1269,Client_1269,a private Manufacturing enterprise,subang jaya,Agent_D,1/6/2023,Conctacted,1.5 days,40,3015.53
CL-0994,CLIENT_994,a regional Financial Institution,Johor Baru,Agent_C,13/12/2024,Contacted,50.3h,45,2878.44
CL-1796,Client_1796,a private Manufacturing enterprise,Melacca,Agent_B,24/03/2024,Contacted,58.5 hours,27,2734.68
CL-0294,client_294,a Government Service provider,Serembn,Agent_D,30-Jul-23, Qualified,46.7 hrs,8,4420.56
CL-0585,Client_585,a private Manufacturing enterprise,Alor Setr,Agent_B,2/4/2023,QUALIFIED,29.4 hrs,4,2837.69
CL-2367,Client_2367 ,a leading Utility company,Kuching,Agent_D,7/1/2024,New ,1.5 days,1,1247.57
CL-2224,Client_2224,a major Telecommunications provider, Penang,Agent_D,13-Dec-23,qualified,34,39,1257.5
CL-2052,Client_2052,a major Telecommunications provider,johor bahru,Agent_D,28-May-24,Qualified ,15.8h,48,2209.59
CL-1717, Client_1717,a private Manufacturing enterprise, Seremban,Agent_A,19-Apr-23,Contacted,68.5h,25,4983.48
CL-1597,CLIENT_1597,a private Manufacturing enterprise,Kuching ,Agent_D,8/12/2023,LOST,0.7 hrs,45,1252.9
CL-0041,Client_041,a major Telecommunications provider,Malacca,Agent_D,30-Jan-24,Conctacted,1.3 days,35,1911.38
CL-0896,Client_896,a major Telecommunications provider,Klang ,Agent_B,23-Sep-23,CONTACTED,8,19,1237.68
CL-2497,Client_2497,a Government Service provider,seremban,Agent_C,11/26/2024,Contacted ,0.9 days,50,2104.39
CL-0481,Client_481,a Government Service provider, Malacca,Agent_B,3/27/2023,Contacted ,6.5h,16,3698.2
CL-0817,client_817,a private Manufacturing enterprise,Petaling  Jaya,Agent_D,25/03/2023,Lost ,70.4h,16,2307.58
CL-1900,client_1900,a Government Service provider, Subang Jaya,Agent_D,10/19/2023,New ,45.3,42,4481.32
CL-2919,CLIENT_2919,a private Manufacturing enterprise, Shah Alam,Agent_A,27/01/2024,contacted,18.6 hrs,41,1304.3
CL-1530, Client_1530,a leading Utility company,kuala lumpur,Agent_A,17/03/2023,Converted,43.7h,20,2302.7
CL-0638,Client_638,a regional Financial Institution,Peneng,Agent_A,18.06.2024,Converted ,42.8h,47,4111.51
CL-2601,Client_2601,a leading Utility company,kota kinabalu,Agent_D,2/10/2023,contacted,2.3 days,49,2039.37
CL-1526,Client_1526,a private Manufacturing enterprise,Johor Bahru,Agent_A,25/04/2024,Converted ,62.1 hours,18,4645.39
CL-0854,client_854,a leading Utility company,kota kinabalu,Agent_D,5/2/2024,Lost ,38.9h,25,3854.76
CL-0979,CLIENT_979,a leading Utility company,Peneng,Agent_C,09.09.2023,lost,0.3 days,49,2737.71
CL-2315,Client_2315,a regional Financial Institution,Sha Alam,Agent_C,3/11/2023,Converted,47.7,34,3397.96
CL-0549,Client_549,a Government Service provider,Johor Bahru ,Agent_A,3/7/2023, Contacted,52.7h,12,1461.6
CL-1623,Client_1623,a major Telecommunications provider,shah alam,Agent_B,02.07.2024,LOST,8,4,3812.6
CL-2598,Client_2598,a regional Financial Institution,Putrajya,Agent_B,11/12/2024,Los,50.8 hours,N/A,3705.05
CL-2583,Client_2583,a major Telecommunications provider,Kuala Lumpur,Agent_D,30-Jan-23, Contacted,55.8 hrs,35,3931.86
CL-2720,Client_2720,a private Manufacturing enterprise, Putrajaya,Agent_B,27-May-24,Conveted,1.3 days,7,4639.85
CL-1965,Client_1965,a leading Utility company,Malacaa,Agent_B,27/07/2024,Qualifeid,35,46,1426.15
CL-1292,Client_1292,a Government Service provider,Seremban ,Agent_B,6/4/2023,QUALIFIED,6.8 hrs,35,2808.65
CL-1801,Client_1801,a major Telecommunications provider,IPOH,Agent_B,19-Oct-24,New ,48,15,1877.21
CL-2199,Client_2199,a private Manufacturing enterprise,Serembn,Agent_D,17/08/2023,Conctacted,9.0h,36,1252.9
CL-0514,client_514,a major Telecommunications provider,Serembn,Agent_A,20/07/2024,new,25.9 hrs,38,2034
CL-2866,Client_2866,a regional Financial Institution,putrajaya,Agent_D,11/3/2023,CONVERTED,56.3 hours,7,3978.84
CL-2503,Client_2503,a regional Financial Institution,Kuchng,Agent_A,15/12/2024,new,56.1 hours,26,3211.73
CL-1066,Client_1066,a leading Utility company,cyberjaya,Agent_A,8/14/2024,New,53.8 hrs,-2,3625.59
CL-0149,Client_149,a regional Financial Institution,Petaling Jaya,Agent_A,19.06.2023,New ,48.9 hrs,40,4650.23
CL-2791,Client_2791,a leading Utility company,Sha Alam,Agent_D,29/05/2024,new,61.2h,17,3066.07
CL-0205,CLIENT_205,a leading Utility company,Klang,Agent_D,29-Oct-24,Conctacted,61.3,12,3010.8
CL-1367,client_1367,a regional Financial Institution,KL,Agent_C,5/4/2023,Lost,25.5 hrs,11,3397.96
CL-2440,Client_2440,a leading Utility company,Sha Alam,Agent_A,09.07.2024,NEW,20.6h,38,4871.34
CL-1681,Client_1681,a Government Service provider,Petaling Jya,Agent_C,25-Mar-23, Converted,59.4,3 interactions,1377.84
CL-2855,Client_2855,a private Manufacturing enterprise,kuchng,Agent_C,20/07/2024,QUALIFIED,55.3h,4,1976.41
CL-0953,Client_953,a private Manufacturing enterprise,Petalng Jaya,Agent_D,11/12/2024,new,39,21,2344.28
CL-2547,Client_2547,a regional Financial Institution, Klang,Agent_C,18/07/2023,lost,66.8 hrs,34,3625.31
CL-0550, Client_550,a regional Financial Institution,johor bahru,Agent_A,1/4/2023,new,2.6 days,39,3928.26
CL-0912,Client_912,a leading Utility company,Peneng,Agent_A,10.01.2023,Contactd,67.9 hrs,30,1009.09
CL-2853,Client_2853,a leading Utility company,Kuching ,Agent_C,2/8/2023, Converted,41,12,4796.43
CL-0951,Client_951,a major Telecommunications provider,JB,Agent_D,22.04.2023,qualified,12.1 hours,1,3812.01
CL-1886,Client_1886,a regional Financial Institution,Alor Setar ,Agent_C,6/3/2024, Contacted,70.5h,14 interactions,2736.23
CL-1126,Client_1126,a regional Financial Institution,Shah  Alam,Agent_C,12/15/2024,new,2.1 days,6,2962.36
